repo,rq1_groundTruthNumberOfTransitiveDeps,rq1_webpackTransitiveDeps,rq1_ourSolutionTransitiveDeps,rq2_baselineLines,rq2_webpackLines,rq2_slicejsLines,rq3_groundTruthLinesOfCode,rq3_webpackLinesOfCode,rq3_ourSolutionLinesOfCode,TDR,DSLOCR,PDSLOCR
anymatch,228,0,0,1355,372,1330,1303,853,1279,228,1.84,1.85
archiver,143,10,3,12121,6705,2398,16091,4646,1318,140,91.81,80.22
archiver-utils,107,2,0,9557,3372,3073,28129,3133,255,107,99.09,67.85
asn1.js,194,0,0,168,100,67,3338,48,22,194,99.34,60.12
babel-eslint,400,0,0,56614,544,55840,2652,530,474,400,82.13,1.37
basic-auth,358,0,0,76,41,42,52,23,26,358,50,44.74
body-parser,344,29,29,8628,5393,6183,7527,3846,4098,315,45.56,28.34
braces,186,5,5,1399,775,909,190,84,189,181,0.53,35.03
browser-resolve,23,4,4,825,463,372,3061,316,189,19,93.83,54.91
browserify-zlib,653,0,0,3476,,577,11659,0,0,653,100,83.4
cache-base,135,0,10,1192,732,707,660,451,423,125,35.91,40.69
capture-exit,107,0,0,965,631,421,3778,625,415,107,89.02,56.37
class-utils,339,166,95,83893,31457,16336,80,59,56,244,30,80.53
cli-progress,126,4,1,338,211,249,31,12,15,125,51.61,26.33
cli-table3,478,4,1,657,46,358,34,12,15,477,55.88,45.51
clone-deep,57,0,0,322,267,222,195,223,174,57,10.77,31.06
coa,183,5,1,2652,1523,1668,1532,854,863,182,43.67,37.1
collection-visit,355,182,86,91604,45445,15131,43,36,26,269,39.53,83.48
colorspace,59,5,1,1611,871,989,391,221,252,58,35.55,38.61
compare-func,139,0,0,279,162,279,246,0,0,139,100,0
compress-commons,102,0,0,204,104,139,6050,41,77,102,98.73,31.86
connect,240,7,7,969,512,398,578,221,199,233,65.57,58.93
contains-path,122,1,1,161,95,77,73,39,23,121,68.49,52.17
cookie-parser,340,0,0,213,149,68,184,14,9,340,95.11,68.08
cors,279,0,0,176,92,49,138,62,23,279,83.33,72.16
crc32-stream,84,0,0,99,34,79,5922,28,73,84,98.77,20.2
cross-spawn,606,2,1,330,192,302,124,63,109,605,12.1,8.48
css-to-react-native,505,0,0,541,208,140,543,172,108,505,80.11,74.12
define-property,137,0,1,216,107,100,102,7,7,136,93.14,53.7
error-ex,339,0,0,27,18,16,8,3,3,339,62.5,40.74
esquery,372,0,0,638,329,340,650,323,334,372,48.62,46.71
finalhandler,338,1,1,366,221,154,815,122,50,337,93.87,57.92
for-own,120,0,0,27,18,19,8,3,6,120,25,29.63
glob-parent,314,0,1,158,77,25,125,53,4,313,96.8,84.18
has-value,137,0,2,265,194,99,120,72,51,135,57.5,62.64
has-values,138,0,0,116,100,19,97,86,7,138,92.78,83.62
hash.js,140,0,0,28,20,17,37,6,5,140,86.49,39.29
hmac-drbg,36,0,0,89,54,49,1329,33,30,36,97.74,44.94
homedir-polyfill,121,0,0,44,32,28,25,17,15,121,40,36.36
is-absolute,141,2,2,79,53,48,28,12,11,139,60.71,39.24
is-extendable,138,1,1,43,28,26,18,8,8,137,55.56,39.53
is-glob,121,0,0,30,22,19,11,8,7,121,36.36,36.67
is-relative,140,1,1,33,25,23,8,5,4,139,50,30.3
jest-junit,200,1,1,546,327,231,1975,248,154,199,92.2,57.69
jsonfile,288,0,0,27,23,12,22,0,0,288,100,55.56
keygrip,202,0,0,48,28,28,101,10,12,202,88.12,41.67
language-tags,177,0,0,42,,15,0,0,0,177,,64.29
lazy-cache,111,3,3,186,77,81,37,23,22,108,40.54,56.45
md5,183,0,0,159,114,119,124,72,83,183,33.06,25.16
mime-types,318,0,0,25,19,17,1,3,3,318,-200,32
morgan,385,2,2,415,222,186,925,110,65,383,92.97,55.18
mz,63,0,0,84,45,14,234,30,1,63,99.57,83.33
node-fetch,599,51,0,140641,79607,67,662,0,0,599,100,99.95
node-gyp,298,3,0,6068,3136,2695,13657,1953,2435,298,82.17,55.59
node-notifier,569,3,3,2831,1357,2719,3321,808,1730,566,47.91,3.96
object-copy,118,5,5,393,149,146,160,29,31,113,80.63,62.85
object-visit,354,181,0,91508,45382,16,4,3,3,354,25,99.98
object.pick,137,0,0,23,18,16,4,3,3,137,25,30.43
on-finished,310,0,0,71,46,57,52,31,44,310,15.38,19.72
one-time,166,0,0,41,23,17,54,8,4,166,92.59,58.54
parse-filepath,110,5,5,126,82,78,54,17,16,105,70.37,38.1
pascalcase,104,0,0,108,37,61,89,22,47,104,47.19,43.52
passport,21,0,0,100,70,77,40,26,39,21,2.5,23
path-root,103,0,0,23,18,17,4,3,4,103,0,26.09
portfinder,196,2,0,2560,1491,1293,7202,1375,1246,196,82.7,49.49
postcss-loader,778,16,0,202694,104419,14,14951,676,0,778,100,99.99
postcss-modules-local-by-default,461,2,2,3762,2295,2012,3468,2117,1840,459,46.94,46.52
postcss-modules-scope,461,2,2,3088,1999,1712,2856,1865,1591,459,44.29,44.56
postcss-modules-values,434,0,0,156,100,156,125,78,125,434,0,0
promise,146,10,10,5751,1900,2590,189,49,49,136,74.07,54.96
promise-retry,107,0,0,288,145,149,851,112,120,107,85.9,48.26
prop-types,464,0,0,117,126,80,484,94,52,464,89.26,31.62
proxy-addr,325,0,0,194,103,82,660,21,16,325,97.58,57.73
randexp,434,128,17,54512,26580,3810,532,394,365,417,31.39,93.01
raw-body,341,6,6,2721,1811,1706,2342,1573,1487,335,36.51,37.3
raw-loader,713,9,9,13731,5368,13731,1506,727,1485,704,1.39,0
rechoir,226,4,4,825,463,304,3061,316,121,222,96.05,63.15
regex-not,137,5,5,540,471,181,129,56,14,132,89.15,66.48
registry-auth-token,230,0,0,2071,,2071,755,0,0,230,100,0
request-progress,122,0,0,40,25,22,98,11,10,122,89.8,45
resolve-dir,146,2,2,142,79,73,29,5,6,144,79.31,48.59
router,362,0,0,486,305,416,1309,42,26,362,98.01,14.4
send,339,6,5,1186,701,469,1349,454,262,334,80.58,60.46
serve-static,348,15,0,2136,1103,71,652,353,29,348,95.55,96.68
set-value,105,1,1,69,46,42,25,11,11,104,56,39.13
shallow-clone,188,0,0,116,100,19,97,86,7,188,92.78,83.62
simple-swizzle,339,0,0,27,17,18,8,3,6,339,25,33.33
,,,,,,,,,,247.1954023,61.42802326,47.7737931
