repo,rq1_groundTruthNumberOfTransitiveDeps,rq1_webpackTransitiveDeps,rq1_ourSolutionTransitiveDeps,rq2_baselineLines,rq2_webpackLines,rq2_slicejsLines,rq3_groundTruthLinesOfCode,rq3_webpackLinesOfCode,rq3_ourSolutionLinesOfCode,TDR,DSLOCR,PDSLOCR
basic-auth,358,0,0,76,41,20,52,23,4,358,73.68,92.31
browserify-zlib,653,0,0,3476,,260,11659,0,0,653,92.52,100
clone-deep,57,0,0,322,14,64,195,223,24,57,80.12,87.69
compression,339,1,1,946,565,160,1149,455,62,338,83.09,94.6
contains-path,122,1,1,161,32,42,73,39,10,121,73.91,86.3
cookie-parser,340,0,0,213,32,33,184,14,5,340,84.51,97.28
cors,279,0,0,176,92,32,138,62,6,279,81.82,95.65
crc32-stream,84,0,0,99,,44,5922,28,38,84,55.56,99.36
css-to-react-native,505,0,0,541,,89,543,172,59,505,83.55,89.13
define-property,137,4,0,216,107,54,102,7,7,137,75,93.14
error-ex,339,0,0,27,,16,8,3,3,339,40.74,62.5
esquery,372,0,0,638,,176,650,323,170,372,72.41,73.85
finalhandler,338,1,0,366,,92,815,122,33,338,74.86,95.95
for-own,120,0,0,27,,14,8,3,1,120,48.15,87.5
glob-parent,314,1,1,158,77,39,125,53,18,313,75.32,85.6
has-value,137,2,2,265,194,77,120,72,40,135,70.94,66.67
has-values,138,0,0,116,,17,97,86,5,138,85.34,94.85
hash.js,140,0,0,28,,15,37,6,3,140,46.43,91.89
hmac-drbg,36,0,0,89,,40,1329,33,21,36,55.06,98.42
homedir-polyfill,121,0,0,44,,28,25,17,15,121,36.36,40
is-absolute,141,2,2,79,,45,28,12,11,139,43.04,60.71
is-extendable,138,1,1,43,,26,18,8,8,137,39.53,55.56
is-glob,121,0,0,30,,19,11,8,7,121,36.67,36.36
is-relative,140,1,1,33,,23,8,0,4,139,30.3,50
jest-junit,200,1,1,546,,172,1975,248,97,199,68.5,95.09
jsonfile,288,0,0,27,,12,22,0,0,288,55.56,100
keygrip,202,0,0,48,,28,101,10,12,202,41.67,88.12
language-tags,177,0,0,42,,15,0,0,0,177,64.29,
lazy-cache,111,3,3,186,,75,37,23,22,108,59.68,40.54
md5,183,0,0,159,,73,124,72,37,183,54.09,70.16
mime-types,318,0,0,25,,17,1,3,3,318,32,-200
morgan,385,2,1,415,,86,925,110,31,384,79.28,96.65
mz,63,0,0,84,,14,234,30,1,63,83.33,99.57
object-copy,118,5,5,393,,89,160,29,26,113,77.35,83.75
object.pick,137,0,0,23,,16,4,3,3,137,30.43,25
on-finished,310,0,0,71,,29,52,31,16,310,59.15,69.23
one-time,166,0,0,41,,17,54,8,4,166,58.54,92.59
parse-filepath,110,5,5,126,,71,54,17,14,105,43.65,74.07
pascalcase,104,0,0,108,,62,89,22,48,104,42.59,46.07
path-root,103,0,0,23,,17,4,3,4,103,26.09,0
prop-types,464,0,0,117,,49,484,94,21,464,58.12,95.66
proxy-addr,325,0,0,194,,48,660,21,4,325,75.26,99.39
request-progress,122,0,0,40,,22,98,11,10,122,45,89.8
shallow-clone,188,0,0,116,,17,97,86,5,188,85.34,94.85
simple-swizzle,339,0,0,27,,18,8,3,6,339,33.33,25
static-extend,101,8,8,635,,182,81,57,53,93,71.34,34.57
union-value,189,2,2,239,60,93,168,91,58,187,61.09,65.48
unixify,122,1,1,48,32,19,11,5,4,121,60.42,63.64
url-parse,380,0,0,40,33,18,153,18,5,380,55,96.73
wbuf,25,0,0,28,,15,9,6,3,25,46.43,66.67
window-size,121,10,9,515,,187,30,20,18,112,63.69,40
zip-stream,126,0,0,40,,11,6548,13,0,126,72.5,100
,,,,,,,,,,209.6538462,60.43519231,70.35196078
