repo,groundTruthNumberOfTransitiveDeps,webpacklocation,ourSolutionLocation,webpackTransitiveDeps,ourSolutionTransitiveDeps
anymatch,228,output/anymatch,dist/anymatch,0,0
archiver,143,output/archiver,dist/archiver,10,3
archiver-utils,107,output/archiver-utils,dist/archiver-utils,2,0
asn1.js,194,output/asn1.js,dist/asn1.js,0,0
babel-eslint,400,output/babel-eslint,dist/babel-eslint,0,0
basic-auth,358,output/basic-auth,dist/basic-auth,0,0
body-parser,344,output/body-parser,dist/body-parser,29,29
braces,186,output/braces,dist/braces,5,5
browser-resolve,23,output/browser-resolve,dist/browser-resolve,4,4
browserify-zlib,653,output/browserify-zlib,dist/browserify-zlib,0,0
cache-base,135,output/cache-base,dist/cache-base,0,10
capture-exit,107,output/capture-exit,dist/capture-exit,0,0
class-utils,339,output/class-utils,dist/class-utils,166,95
cli-progress,126,output/cli-progress,dist/cli-progress,4,1
cli-table3,478,output/cli-table3,dist/cli-table3,4,1
clone-deep,57,output/clone-deep,dist/clone-deep,0,0
coa,183,output/coa,dist/coa,5,1
collection-visit,355,output/collection-visit,dist/collection-visit,182,86
colorspace,59,output/colorspace,dist/colorspace,5,1
compare-func,139,output/compare-func,dist/compare-func,0,0
compress-commons,102,output/compress-commons,dist/compress-commons,0,0
connect,240,output/connect,dist/connect,7,7
contains-path,122,output/contains-path,dist/contains-path,1,1
cookie-parser,340,output/cookie-parser,dist/cookie-parser,0,0
cors,279,output/cors,dist/cors,0,0
crc32-stream,84,output/crc32-stream,dist/crc32-stream,0,0
cross-spawn,606,output/cross-spawn,dist/cross-spawn,2,1
css-to-react-native,505,output/css-to-react-native,dist/css-to-react-native,0,0
define-property,137,output/define-property,dist/define-property,0,1
error-ex,339,output/error-ex,dist/error-ex,0,0
esquery,372,output/esquery,dist/esquery,0,0
finalhandler,338,output/finalhandler,dist/finalhandler,1,1
for-own,120,output/for-own,dist/for-own,0,0
glob-parent,314,output/glob-parent,dist/glob-parent,0,1
has-value,137,output/has-value,dist/has-value,0,2
has-values,138,output/has-values,dist/has-values,0,0
hash.js,140,output/hash.js,dist/hash.js,0,0
hmac-drbg,36,output/hmac-drbg,dist/hmac-drbg,0,0
homedir-polyfill,121,output/homedir-polyfill,dist/homedir-polyfill,0,0
is-absolute,141,output/is-absolute,dist/is-absolute,2,2
is-extendable,138,output/is-extendable,dist/is-extendable,1,1
is-glob,121,output/is-glob,dist/is-glob,0,0
is-relative,140,output/is-relative,dist/is-relative,1,1
jest-junit,200,output/jest-junit,dist/jest-junit,1,1
jsonfile,288,output/jsonfile,dist/jsonfile,0,0
keygrip,202,output/keygrip,dist/keygrip,0,0
language-tags,177,output/language-tags,dist/language-tags,0,0
lazy-cache,111,output/lazy-cache,dist/lazy-cache,3,3
md5,183,output/md5,dist/md5,0,0
mime-types,318,output/mime-types,dist/mime-types,0,0
morgan,385,output/morgan,dist/morgan,2,2
mz,63,output/mz,dist/mz,0,0
node-fetch,599,output/node-fetch,dist/node-fetch,51,0
node-gyp,298,output/node-gyp,dist/node-gyp,3,0
node-notifier,569,output/node-notifier,dist/node-notifier,3,3
object-copy,118,output/object-copy,dist/object-copy,5,5
object-visit,354,output/object-visit,dist/object-visit,181,0
object.pick,137,output/object.pick,dist/object.pick,0,0
on-finished,310,output/on-finished,dist/on-finished,0,0
one-time,166,output/one-time,dist/one-time,0,0
parse-filepath,110,output/parse-filepath,dist/parse-filepath,5,5
pascalcase,104,output/pascalcase,dist/pascalcase,0,0
passport,21,output/passport,dist/passport,0,0
path-root,103,output/path-root,dist/path-root,0,0
portfinder,196,output/portfinder,dist/portfinder,2,0
postcss-loader,778,output/postcss-loader,dist/postcss-loader,16,0
postcss-modules-local-by-default,461,output/postcss-modules-local-by-default,dist/postcss-modules-local-by-default,2,2
postcss-modules-scope,461,output/postcss-modules-scope,dist/postcss-modules-scope,2,2
postcss-modules-values,434,output/postcss-modules-values,dist/postcss-modules-values,0,0
promise,146,output/promise,dist/promise,10,10
promise-retry,107,output/promise-retry,dist/promise-retry,0,0
prop-types,464,output/prop-types,dist/prop-types,0,0
proxy-addr,325,output/proxy-addr,dist/proxy-addr,0,0
randexp,434,output/randexp,dist/randexp,128,17
raw-body,341,output/raw-body,dist/raw-body,6,6
raw-loader,713,output/raw-loader,dist/raw-loader,9,9
rechoir,226,output/rechoir,dist/rechoir,4,4
regex-not,137,output/regex-not,dist/regex-not,5,5
registry-auth-token,230,output/registry-auth-token,dist/registry-auth-token,0,0
request-progress,122,output/request-progress,dist/request-progress,0,0
resolve-dir,146,output/resolve-dir,dist/resolve-dir,2,2
router,362,output/router,dist/router,0,0
send,339,output/send,dist/send,6,5
serve-static,348,output/serve-static,dist/serve-static,15,0
set-value,105,output/set-value,dist/set-value,1,1
shallow-clone,188,output/shallow-clone,dist/shallow-clone,0,0
simple-swizzle,339,output/simple-swizzle,dist/simple-swizzle,0,0
