repo,groundTruthLinesOfCode,webpackLinesOfCode,ourSolutionLinesOfCode
anymatch,1303,853,1279
archiver,16091,4646,1318
archiver-utils,28129,3133,255
asn1.js,3338,48,22
babel-eslint,2652,530,474
basic-auth,52,23,26
body-parser,7527,3846,4098
braces,190,84,189
browser-resolve,3061,316,189
browserify-zlib,11659,0,0
cache-base,660,451,423
capture-exit,3778,625,415
class-utils,80,59,56
cli-progress,31,12,15
cli-table3,34,12,15
clone-deep,195,223,174
coa,1532,854,863
collection-visit,43,36,26
colorspace,391,221,252
compare-func,246,0,0
compress-commons,6050,41,77
connect,578,221,199
contains-path,73,39,23
cookie-parser,184,14,9
cors,138,62,23
crc32-stream,5922,28,73
cross-spawn,124,63,109
css-to-react-native,543,172,108
define-property,102,7,7
error-ex,8,3,3
esquery,650,323,334
finalhandler,815,122,50
for-own,8,3,6
glob-parent,125,53,4
has-value,120,72,51
has-values,97,86,7
hash.js,37,6,5
hmac-drbg,1329,33,30
homedir-polyfill,25,17,15
is-absolute,28,12,11
is-extendable,18,8,8
is-glob,11,8,7
is-relative,8,5,4
jest-junit,1975,248,154
jsonfile,22,0,0
keygrip,101,10,12
language-tags,0,0,0
lazy-cache,37,23,22
md5,124,72,83
mime-types,1,3,3
morgan,925,110,65
mz,234,30,1
node-fetch,662,0,0
node-gyp,13657,1953,2435
node-notifier,3321,808,1730
object-copy,160,29,31
object-visit,4,3,3
object.pick,4,3,3
on-finished,52,31,44
one-time,54,8,4
parse-filepath,54,17,16
pascalcase,89,22,47
passport,40,26,39
path-root,4,3,4
portfinder,7202,1375,1246
postcss-loader,14951,676,0
postcss-modules-local-by-default,3468,2117,1840
postcss-modules-scope,2856,1865,1591
postcss-modules-values,125,78,125
promise,189,49,49
promise-retry,851,112,120
prop-types,484,94,52
proxy-addr,660,21,16
randexp,532,394,365
raw-body,2342,1573,1487
raw-loader,1506,727,1485
rechoir,3061,316,121
regex-not,129,56,14
registry-auth-token,755,0,0
request-progress,98,11,10
resolve-dir,29,5,6
router,1309,42,26
send,1349,454,262
serve-static,652,353,29
set-value,25,11,11
shallow-clone,97,86,7
simple-swizzle,8,3,6
