repo,groundTruthLinesOfCode,webpackLinesOfCode,ourSolutionLinesOfCode
basic-auth,52,23,26
,,,
browserify-zlib,11659,0,0
cache-base,0,451,268
capture-exit,0,625,430
cli-progress,0,12,15
cli-table3,0,12,15
coa,0,854,863
colorspace,0,221,254
compress-commons,0,41,77
,,,
compression,1149,455,368
connect,0,221,199
contains-path,73,39,30
cookie-parser,184,14,9
,,,
cors,138,62,23
crc32-stream,5922,28,73
css-to-react-native,543,172,108
define-property,102,7,7
des.js,0,29,6
,,,
,,,
duplexer2,0,676,539
error-ex,8,3,3
esquery,650,323,334
expand-brackets,0,63,76
expand-tilde,0,22,19
,,,
finalhandler,815,122,50
for-own,8,3,6
fs-extra,0,412,259
glob-parent,125,53,4
,,,
has-value,120,72,51
has-values,97,86,7
hash.js,37,6,5
hmac-drbg,1329,33,30
homedir-polyfill,25,17,15
hpack.js,2630,715,557
http-errors,487,79,56
is-absolute,28,12,11
is-extendable,18,8,8
is-glob,11,8,7
is-relative,8,5,4
,,,
jest-junit,1975,248,154
json-bigint,2904,559,436
jsonfile,22,0,0
keygrip,101,10,12
language-tags,0,0,0
lazy-cache,37,23,22
,,,
makeerror,16,7,8
md5,124,72,83
,,,
miller-rabin,2907,1041,1133
mime-types,1,3,3
morgan,925,110,65
mz,234,30,1
node-dir,661,367,258
