repo,baselineLines,webpackLines,slicejsLines
anymatch,1355,372,1330
archiver,12121,6705,2398
archiver-utils,9557,3372,3073
asn1.js,168,100,67
babel-eslint,56614,544,55840
basic-auth,76,41,42
body-parser,8628,5393,6183
braces,1399,775,909
browser-resolve,825,463,372
browserify-zlib,3476,,577
cache-base,1192,732,707
capture-exit,965,631,421
class-utils,83893,31457,16336
cli-progress,338,211,249
cli-table3,657,46,358
clone-deep,322,267,222
coa,2652,1523,1668
collection-visit,91604,45445,15131
colorspace,1611,871,989
compare-func,279,162,279
compress-commons,204,104,139
connect,969,512,398
contains-path,161,95,77
cookie-parser,213,149,68
cors,176,92,49
crc32-stream,99,34,79
cross-spawn,330,192,302
css-to-react-native,541,208,140
define-property,216,107,100
error-ex,27,18,16
esquery,638,329,340
finalhandler,366,221,154
for-own,27,18,19
glob-parent,158,77,25
has-value,265,194,99
has-values,116,100,19
hash.js,28,20,17
hmac-drbg,89,54,49
homedir-polyfill,44,32,28
is-absolute,79,53,48
is-extendable,43,28,26
is-glob,30,22,19
is-relative,33,25,23
jest-junit,546,327,231
jsonfile,27,23,12
keygrip,48,28,28
language-tags,42,,15
lazy-cache,186,77,81
md5,159,114,119
mime-types,25,19,17
morgan,415,222,186
mz,84,45,14
node-fetch,140641,79607,67
node-gyp,6068,3136,2695
node-notifier,2831,1357,2719
object-copy,393,149,146
object-visit,91508,45382,16
object.pick,23,18,16
on-finished,71,46,57
one-time,41,23,17
parse-filepath,126,82,78
pascalcase,108,37,61
passport,100,70,77
path-root,23,18,17
portfinder,2560,1491,1293
postcss-loader,202694,104419,14
postcss-modules-local-by-default,3762,2295,2012
postcss-modules-scope,3088,1999,1712
postcss-modules-values,156,100,156
promise,5751,1900,2590
promise-retry,288,145,149
prop-types,117,126,80
proxy-addr,194,103,82
randexp,54512,26580,3810
raw-body,2721,1811,1706
raw-loader,13731,5368,13731
rechoir,825,463,304
regex-not,540,471,181
registry-auth-token,2071,,2071
request-progress,40,25,22
resolve-dir,142,79,73
router,486,305,416
send,1186,701,469
serve-static,2136,1103,71
set-value,69,46,42
shallow-clone,116,100,19
simple-swizzle,27,17,18
