repo,baselineLines,webpackLines,slicejsLines
accepts,,,
anymatch,,,
archiver,,,
archiver-utils,,,
asn1.js,,,
babel-eslint,,,
basic-auth,76,41,42
body-parser,,,
braces,,,
browser-resolve,,,
browserify-zlib,3476,,577
cache-base,1192,732,497
capture-exit,965,,436
class-utils,,,
cli-progress,338,,249
cli-table3,657,,358
clone-deep,,,
coa,2652,1523,1668
collection-visit,,,
colorspace,1611,,989
compare-func,,,
compress-commons,204,,139
connect,969,,398
contains-path,161,95,84
cookie-parser,213,149,68
cors,176,92,49
crc32-stream,99,34,79
cross-spawn,,,
css-to-react-native,541,208,140
define-property,216,107,100
des.js,87,,35
duplexer2,1915,,747
error-ex,27,18,16
esquery,638,329,340
expand-brackets,1260,,473
expand-tilde,118,,57
finalhandler,366,221,154
for-own,27,18,19
fs-extra,834,,321
glob-parent,158,77,25
has-value,265,194,99
has-values,116,100,19
hash.js,28,20,17
hmac-drbg,89,54,49
homedir-polyfill,44,32,28
hpack.js,1974,1055,770
http-errors,210,146,114
is-absolute,79,53,48
is-extendable,43,28,26
is-glob,30,22,19
is-relative,33,25,23
jest-junit,546,327,231
json-bigint,1471,574,448
jsonfile,27,23,12
keygrip,48,28,28
language-tags,42,,15
lazy-cache,186,77,81
makeerror,35,21,20
md5,159,114,119
miller-rabin,2773,1063,1159
mime-types,25,19,17
morgan,415,222,186
mz,84,45,14
node-dir,913,500,334
node-fetch,,,
node-gyp,,,
node-notifier,,,
object-copy,,,
object-visit,,,
object.pick,,,
on-finished,,,
one-time,,,
parse-filepath,,,
pascalcase,,,
passport,,,
path-root,,,
portfinder,,,
postcss-loader,,,
postcss-modules-local-by-default,,,
postcss-modules-scope,,,
postcss-modules-values,,,
promise,,,
promise-retry,,,
prop-types,,,
proxy-addr,,,
randexp,,,
raw-body,,,
raw-loader,,,
rechoir,,,
regex-not,,,
registry-auth-token,,,
request-progress,,,
resolve-dir,,,
router,,,
selfsigned,,,
send,,,
serve-static,,,
set-value,,,
shallow-clone,,,
simple-swizzle,,,
